category,link,make_again,name,rating,summary
recipe,/recipes/food/views/spicy-lightly-pickled-cucumbers,100%,Spicy Lightly Pickled Cucumbers,4,"These quick pickles have just the right amount of sweet, salt, and tang going on. The brine can work with any crunchy veg, but we like them best with cucumbers. We guarantee they'll be the sleeper hit of your next party spread."
recipe,/recipes/food/views/cucumbers-with-ajo-blanco-sauce,100%,Cucumbers with Ajo Blanco Sauce,4,"Think of this as an all-purpose garlic sauce. Once you get the hang of making it, try swapping cashews or blanched hazelnuts for the almonds."
recipe,/recipes/food/views/cold-beef-tenderloin-with-tomatoes-and-cucumbers,0%,Cold Beef Tenderloin with Tomatoes and Cucumbers,2,"Beef tenderloin is precious enough to baby on a two-zone grill: Sear it over high heat, then transfer it to the cooler side and turn it often to hit a perfect medium-rare."
recipe,/recipes/food/views/fried-fish-sandwiches-with-cucumbers-and-tartar-sauce,100%,Fried Fish Sandwiches with Cucumbers and Tartar Sauce,3,"Take your cast-iron pan to the grill for this classically flavored crispy fish sandwich recipe (or, if you don’t have a grill, fire up the stove—the breeze won’t be the same, but the sandwich will still be delicious)."
recipe,/recipes/food/views/farro-spelt-grain-salad-with-tomatoes-and-cucumbers,100%,Grain Salad with Tomatoes and Cucumbers,3,We call for semi-pearled grains because they cook more quickly and have a roughened-up texture that helps them soak up the dressing. Browning them first deepens their flavor.
recipe,/recipes/food/views/grilled-charred-cabbage-with-goat-cheese-raita-and-cucumbers,0%,Charred Cabbage with Goat Cheese Raita and Cucumbers,2,Go hard when charring the cabbage wedges—to the point you might think you did something wrong. They are dense and resilient and need a long time on the grill to soften.
recipe,/recipes/food/views/cucumber-seaweed-salad,0%,Cucumber-Seaweed Salad,0,A ginger and coconut aminos dressing brings together this healthful salad of crunchy cucumbers and toothsome seaweed.
recipe,/recipes/food/views/pineapple-shrimp-noodle-bowls,73%,Pineapple Shrimp Noodle Bowls,3.5,Quickly caramelized pineapple and sautéed shrimp are tossed in a sweet and sour sauce with lots of fresh basil and spooned over rice noodles for a quick dinner that beats takeout any day.
recipe,/recipes/food/views/sambal-shrimp-lettuce-wraps,50%,Sambal Shrimp Lettuce Wraps,3.5,"The shrimp cooks in minutes, so while it’s marinating,  set out a platter of lettuce cups, mint sprigs, chopped peanuts, sliced cucumbers, and the reserved sauce."
recipe,/recipes/food/views/smashed-cucumber-salad-with-lemon-and-celery-salt,0%,Smashed Cucumber Salad with Lemon and Celery Salt,0,"If you have ever peeled, seeded, and sliced cucumbers for salads, this recipe will hopefully change your mind. Smashing the cucumbers augments the vegetable's ability to absorb seasonings."
recipe,/recipes/food/views/thai-style-squid-and-cucumber-salad,50%,Thai-Style Squid and Cucumber Salad,2.5,"Tossed with crunchy cucumbers, peanuts, and fresh red chiles, this salad makes a refreshing summer dinner spooned over rice or all on its own."
recipe,/recipes/food/views/spicy-grilled-chicken-with-crunchy-fennel-salad,100%,Spicy Grilled Chicken with Crunchy Fennel Salad,4,"This chicken packs some heat, which is why we paired it with a superclean and cooling crisp fennel salad. If fennel is not your thing, any shaved crunchy veg will do. Try radishes, carrots, or cucumbers instead."
recipe,/recipes/food/views/grilled-salmon-with-meyer-lemons-and-creamy-cucumber-salad,60%,Lemon Salmon with Creamy Cucumber Salad,2.5,"Marinate salmon in lemon zest and fresh dill, then grill and serve with crunchy chopped cucumbers draped in a coleslaw-like dressing."
recipe,/recipes/food/views/smashed-cucumber-salad-with-hot-vinegar,0%,Smashed Cucumber Salad with Hot Vinegar,0,"Cucumbers are practically all water, so you gotta dress them like you mean it. This hot, sweet, and tart dressing will have them covered."
recipe,/recipes/food/views/sams-spring-cucumber-radish-fattoush-salad,100%,Sam's Spring Fattoush Salad,4,Part of what makes this salad so great is the dynamic textures; the cracker-like baked lavash croutons and the crunchy cucumbers and radishes contrast with the creamy feta and soft herbs.
article,/expert-advice/how-to-handle-electric-knife-article,,Everything You Don't Know About Electric Knives,,The history isn't pretty.
recipe,/recipes/food/views/skirt-steak-with-spicy-coconut-dressing,100%,Skirt Steak with Spicy Coconut Dressing,4,This recipe is exceptionally weeknight-friendly (it goes from start to finish in less than an hour) and fully adaptable depending on the tastes of your family.
article,/expert-advice/weekly-meal-plan-sunday-frittata-impromptu-pu-pu-and-a-super-easy-steak-night-article,,Weekly Meal Plan: March 11–15,,"A Sunday frittata, impromptu Pu Pu, and a super-easy steak night."
recipe,/recipes/food/views/mango-toast-with-hazelnut-pepita-butter,0%,Mango Toast with Hazelnut-Pepita Butter,0,"Savory fruit toast is the new avocado toast. Other combinations we’re crushing on: lemony yogurt with cucumbers, almond butter and pears."
article,/recipes-menus/weekly-meal-plan-zingy-pineapple-shrimp-sheet-pan-tandoori-chicken-and-the-worlds-easiest-enchiladas-article,,Weekly Meal Plan: April 8–12,,"Zingy pineapple shrimp, sheet-pan tandoori chicken, and the world’s easiest enchiladas."
article,/expert-advice/high-protein-sauces-for-vegetables-article,,"Turn Veggies into Dinner with One of These ""Sauces"" ",,They're the secret to our food editor's favorite quick and easy weeknight dinners.
article,/recipes-menus/weekly-meal-plan-sept-3-7-2018-article,,Weekly Meal Plan: September 3–7,,Featuring sheet-pan chicken and so. many. cherry tomatoes.
article,/recipes-menus/this-chilled-cucumber-avocado-soup-is-the-easiest-summer-meal-i-know-article,,This Chilled Cucumber-Avocado Soup Is the Easiest Summer Dinner I Know,,It's cool yet spicy. Elegant yet easy. And perfect for warm-weather get-togethers.
article,/expert-advice/the-fastest-way-to-hard-boil-a-huge-batch-of-eggs-article,,"The Fastest Way to ""Hard-Boil"" a Huge Batch of Eggs Is to Steam Them",,Stick with me here.
recipe,/recipes/food/views/quick-pickled-charred-grilled-vegetables,100%,Quick-Pickled Charred Vegetables,4,This technique is nothing short of amazing—even if you're finicky about your pickles.
recipe,/recipes/food/views/green-beans-and-cucumbers-with-miso-dressing,88%,Green Beans and Cucumbers with Miso Dressing,3.5,"Crushing and smashing green beans and cucumbers sounds crazy, but it creates nooks and crannies to soak up as much umami-rich miso sauce as possible. And this is a dressing you'll want a lot of."
article,/recipes-menus/weekly-meal-plan-savory-beef-cheddar-pies-mustard-chicken-and-a-baked-potato-bar-article,,Weekly Meal Plan: January 28–February 1,,"Savory beef-cheddar pies, mustard chicken, and a baked potato bar."
article,/expert-advice/microplane-ginger-grater-article,,"Watch Out Zester, We're Reaching for a New Microplane Tool ",,Meet the ginger grater.
article,/recipes-menus/weekly-meal-plan-grill-ahead-dinners-and-easy-hummus-bowls-article,,Weekly Meal Plan: August 27–31,,"Grill-ahead dinners, hummus bowls, and an old-fashioned Tex-Mex taco night."
article,/recipes-menus/weekly-meal-plan-lamb-meatballs-sheet-pan-salmon-and-mind-blowing-tofu-article,,Weekly Meal Plan: April 15–19,,It's so good you'll forget it's Tax Week.
article,/recipes-menus/weekly-meal-plan-herby-shrimp-gingery-chicken-soup-and-cheesesteak-calzones-article,,Weekly Meal Plan: May 13–17,,"Herby shrimp, gingery chicken soup, and cheesesteak calzones."
article,/ingredients/how-to-store-cucumbers-article,,Store Cucumbers Like a Pro,,Soggy spoiled cucumbers are sad: avoid them forever by learning how to store cucumbers the right way.
article,/recipes-menus/weekly-meal-plan-big-batch-spiced-pork-crunchy-chicken-and-burst-tomato-sauce-article,,Weekly Meal Plan: March 25–29,,"Big-batch spiced pork, crunchy chicken, and four-ingredient chickpea flatbreads."
article,/ingredients/oven-roasted-tofu-is-the-vegetarian-main-we-need-article,,Oven-Roasted Tofu Is the Vegetarian Main We've Been Waiting For,,"Instead of sautéeing neat squares of tofu, try tearing it into rough, craggy pieces and roasting until browned and crispy."
article,/expert-advice/this-is-the-best-soy-sauce-article,,This Soy Sauce is Better Than Anything You've Had from the Grocery Store,,It's imported from Japan—and available on Amazon.
article,/recipes-menus/weekly-meal-plan-citrus-shrimp-slow-cooker-pork-shoulder-and-breakfast-for-dinner-article,,Weekly Meal Plan: January 14–18,,"Citrus shrimp, slow-cooker pork shoulder, and breakfast for dinner."
article,/ingredients/how-to-prepare-and-cook-green-beans-article,,Our 7 Favorite Ways to Cook Green Beans,,"With these methods for roasting, blanching, grilling, and more, you'll never have to eat bland, overcooked green beans again."
article,/ingredients/the-case-for-the-cumin-seed-article,,The Case for the Cumin Seed,,"The versatility of the cumin is practically unmatched in the spice world. But if you're buying the pre-ground stuff, you're only getting half the story."
article,/expert-advice/weekly-meal-plan-simply-roasted-salmon-sheet-pan-sausage-and-life-changing-polenta-article,,Weekly Meal Plan: January 7–12,,You’ll have time to put up your feet every night this week.
article,/holidays-events/last-minute-food-gifts-article,,7 Last-Minute Gifts for Food Lovers,,"Dearest procrastinators, we've got your back!"
article,/expert-advice/big-patch-sliced-pork-tenderloin-freeze-before-prep-article,,The Slice-and-Spice Pork Tenderloin You Freeze Before You Prep,,"For this month's Sunday Stash, we're putting together several meals worth of sliced-and-spiced pork that's ready to be turned into dinner at a moment's notice."
article,/expert-advice/japanese-cookware-gifts-article,,9 Japanese Cookware Gifts That Are All About Form and Function,,"Beautiful cast-iron pans, earthenware pots, and more gifts for classy cooks."
