category,link,name,Ingredients,Preparation,Tags
recipe,/recipes/food/views/spicy-lightly-pickled-cucumbers,Spicy Lightly Pickled Cucumbers,"['2 lb. medium Persian cucumbers (about 12), cut lengthwise into spears', '1/4 cup white wine vinegar or unseasoned rice vinegar', '1 tsp. sugar', '3/4 tsp. crushed red pepper flakes', '2 tsp. kosher salt, plus more', '2 Tbsp. chopped dill', '2 Tbsp. fresh lemon juice']","['Toss cucumbers in a large bowl with vinegar, sugar, red pepper flakes, and 2 tsp. salt. Chill, tossing once, at least 1 hour and up to 6 hours.', 'Just before serving, add dill and lemon juice and toss to combine. Taste and season with more salt if needed.']","['Bon Appétit', 'Pickles', ""Hors D'Oeuvre"", 'Appetizer', 'Side', ""New Year's Eve"", 'Cocktail Party', 'Cucumber', 'Dill', 'Vinegar', 'Summer']"
recipe,/recipes/food/views/cucumbers-with-ajo-blanco-sauce,Cucumbers with Ajo Blanco Sauce,"['5 mini seedless or Persian cucumbers (about 12 oz.)', 'Kosher salt', '3 tsp. sherry vinegar or red wine vinegar, divided', '3/4 cup blanched almonds, divided', '1 garlic clove, finely grated', '1/2 cup extra-virgin olive oil', 'Flaky sea salt']","['Preheat oven to 350°F. Cut cucumbers about 1"" thick on a steep diagonal and place in a medium bowl. Add a large pinch of kosher salt and 2 tsp. vinegar and toss to combine; let marinate 10 minutes. Pour off any liquid that is released.', 'Toast 1/4 cup almonds on a rimmed baking sheet, tossing once, until golden, about 5 minutes. Let cool, then coarsely chop. Set aside.', 'Blend garlic, oil, remaining 1 tsp. vinegar, remaining ½ cup almonds, and 1/2 cup ice water in a blender until smooth and creamy, about 2 minutes; season generously with salt.', 'Divide sauce among plates and top with cucumber salad and chopped almonds. Sprinkle with flaky sea salt.', 'Sauce can be made 1 day ahead. Cover and chill.']","['Bon Appétit', 'Sauce', 'Condiment', 'Garlic', 'Almond', 'Vinegar', 'Cucumber', 'Side', 'Vegetable', 'Quick & Easy', 'Vegetarian', 'Vegan', 'Wheat/Gluten-Free', 'Dairy Free']"
recipe,/recipes/food/views/cold-beef-tenderloin-with-tomatoes-and-cucumbers,Cold Beef Tenderloin with Tomatoes and Cucumbers,"['1/4 cup extra-virgin olive oil, plus more', '1 (3 1/2–4-lb.) beef tenderloin', '3 Tbsp. whole black peppercorns, coarsely crushed', '2 Tbsp. kosher salt', '3 lb. heirloom tomatoes (6–8), sliced into 1/4""-thick rounds', '6 mini seedless or Persian cucumbers, sliced into 1/4""-thick rounds', '1 cup basil leaves', 'Sherry vinegar or red wine vinegar (for serving)', 'Flaky sea salt', 'Freshly ground black pepper', 'Lemony Yogurt Sauce and/or Grilled Serrano Salsa Verde (for serving)']","['Prepare a grill for 2-zone heat (for a charcoal grill, bank two-thirds of coals over one side of grill and scatter remaining coals over the other side; for a gas grill, set one burner to high heat and the remaining burners to medium-low heat). Clean and lightly oil grate. Rub tenderloin with 1/4 cup oil and sprinkle with peppercorns and kosher salt. Grill over hottest part of grill, turning often, until lightly charred on all sides, about 5 minutes. Move to cooler part and continue to grill, turning often, until an instant-read thermometer inserted into the thickest part registers 120°F for medium-rare, 25–30 minutes longer. Transfer to a platter and let cool.', 'Just before serving, thinly slice tenderloin on a large cutting board you can also serve from (or transfer back to platter). Arrange tomato slices, cucumber slices, and basil alongside. Drizzle tomatoes and cucumbers very lightly with vinegar. Drizzle oil over everything and season liberally with sea salt and ground pepper. Serve with Lemony Yogurt Sauce and/or Grilled Serrano Salsa Verde alongside.', 'Beef tenderloin can be grilled 1 day ahead. As soon as it is cool, wrap tightly in plastic (do not slice) and chill until ready to serve.']","['Bon Appétit', 'Dinner', 'Beef Tenderloin', 'Beef', 'Tomato', 'Summer', 'Cucumber', 'Basil']"
recipe,/recipes/food/views/fried-fish-sandwiches-with-cucumbers-and-tartar-sauce,Fried Fish Sandwiches with Cucumbers and Tartar Sauce,"['1/2 cup mayonnaise', '1/4 cup finely grated lemon zest', '2 Tbsp. fresh lemon juice', '2 Tbsp. sweet relish', '1 Tbsp. chopped drained capers', '1 Tbsp. Dijon mustard', '1 small garlic clove, finely grated', 'Kosher salt', '2 Tbsp. Old Bay seasoning', '1 tsp. baking powder', '1 tsp. cayenne pepper', '3/4 cup all-purpose flour, divided', '3/4 cup cornstarch, divided', '5–6 mini seedless or Persian cucumbers', '1/3 cup seasoned rice vinegar', '8 potato rolls', '2 Tbsp. unsalted butter, melted', '1 large egg, beaten to blend', '3/4 cup light beer', '8 (4-oz.) pieces skinless, boneless firm whitefish fillets (3/4""–1"" thick)', '1/2 cup very coarsely chopped dill', 'Vegetable oil (for frying; about 6 cups)', 'Kosher salt', 'Lettuce leaves (for serving)', 'A deep-fry thermometer']","['Mix mayonnaise, lemon zest and juice, relish, capers, mustard, and garlic in a small bowl to combine; season with salt.', 'Prepare a grill for medium-high heat. Whisk Old Bay seasoning, baking powder, cayenne, 1/2 cup flour, and 1/2 cup cornstarch in a medium bowl. Whisk remaining 1/4 cup flour and 1/4 cup cornstarch in another medium bowl.', 'Set a deep cast-iron skillet or large Dutch oven fitted with thermometer on grill; pour in oil to come 1"" up sides. Heat until thermometer registers 375°F.', 'Meanwhile, thinly slice cucumbers lengthwise. Toss in a third medium bowl with vinegar and gently massage with your hands to soften them slightly. Let sit, tossing occasionally, at room temperature at least 10 minutes.', 'Lightly brush insides of rolls with butter and grill just until toasted, about 30 seconds. Transfer to a plate.', 'Gently whisk egg and beer in a small bowl to combine, then gently whisk into Old Bay mixture in 3 additions. Working in 2 batches, season fish lightly with salt. Dredge in flour mixture, knocking off any excess, then dip into batter and lift up with a fork, letting excess drain off and wiping against side of bowl to eliminate any thick drips. (Batter should completely coat the fish without looking clumpy.)', 'Carefully lower fish into oil and fry, turning halfway through, until deeply browned and an instant-read thermometer inserted into the thickest part of each piece registers 125°F–130°F, 7–9 minutes. Using a slotted spoon, transfer to a wire rack set inside a baking sheet.', 'Drain most of vinegar from cucumbers and toss in dill. Build sandwiches with fried fish, cucumbers, lettuce, and tartar sauce.', 'Cucumbers (without dill) can be pickled 2 days ahead. Cover and chill.']","['Bon Appétit', 'Sandwich', 'Fish', 'Seafood', 'Fry', 'Beer', 'Deep-Fry', 'Mayonnaise', 'Capers']"
recipe,/recipes/food/views/farro-spelt-grain-salad-with-tomatoes-and-cucumbers,Grain Salad with Tomatoes and Cucumbers,"['2 cups semi-pearled farro or spelt', 'Kosher salt', '1/3 cup pine nuts', '3 medium Persian cucumbers, peeled, cut into ¾"" pieces', '3 medium tomatoes, thinly sliced', '1 pint Sun Gold and/or cherry tomatoes, halved crosswise', '1 small red onion, very thinly sliced', 'Juice of 1 lemon (or more)', '1/3 cup extra-virgin olive oil', '2 Tbsp. red wine vinegar', 'Freshly ground black pepper', '2 cups torn basil leaves']","['Preheat oven to 350°F. Cook farro in a large Dutch oven or other heavy pot over medium heat, stirring often, until golden brown and toasted (it should start to smell like popcorn and some grains may pop), about 4 minutes. Remove pot from heat and pour in cold water to cover grains by 1""; throw in a healthy handful of salt. Set pot over medium-high heat and bring water to a boil. Reduce heat and simmer, skimming foam occasionally from surface, until grains are tender but still have some bite, 25–35 minutes. Drain and transfer farro to a large bowl.', 'Meanwhile, toast pine nuts on a rimmed baking sheet, tossing once, until golden brown, about 5 minutes. Let cool.', 'Add pine nuts, cucumbers, both kinds of tomatoes, red onion, lemon juice, oil, and vinegar to bowl with farro and toss everything together to combine. Taste and season with salt, pepper, and more lemon juice, if desired.', 'Top salad with basil just before serving.', 'Farro can be cooked 1 day ahead. Let cool; cover and chill.']","['Bon Appétit', 'Salad', 'Side', 'Grains', 'Cucumber', 'Tomato', 'Summer', 'Picnic', 'Pine Nut', 'Basil', 'Italian']"
recipe,/recipes/food/views/grilled-charred-cabbage-with-goat-cheese-raita-and-cucumbers,Charred Cabbage with Goat Cheese Raita and Cucumbers,"['1 garlic clove, smashed', '4 oz. fresh goat cheese', '1 1/2 cups plain whole-milk Greek yogurt', '2 cups mint leaves, divided', '2 cups parsley leaves with tender stems, divided', '2 Tbsp. extra-virgin olive oil, plus more for drizzling', '2 Tbsp. fresh lemon juice, divided', 'Kosher salt', '1 medium head of purple cabbage (about 2 1/2 lb.)', '3 Persian cucumbers, thinly sliced', '1/2 cup crushed Corn Nuts', 'Aleppo-style pepper (for serving)']","['Pulse garlic, goat cheese, yogurt, 1 cup mint, 1 cup parsley, 2 Tbsp. oil, and 1 Tbsp. lemon juice in a food processor until smooth and pale green. Transfer raita to a medium bowl; season with salt.', 'Prepare a grill for medium heat. Cut cabbage in half through core. Cut each half into 3 wedges, keeping core intact. Drizzle wedges with oil to coat and season all over with salt. Grill until deeply charred on all sides (pretty much blackened) and a paring knife easily slips through the center, 8–10 minutes per side. Transfer to a cutting board and let cool 5 minutes (this also allows the cabbage to steam and become tender on the inside). Cut each wedge in half crosswise.', 'Toss cucumbers, remaining 1 cup mint, remaining 1 cup parsley, and remaining 1 Tbsp. lemon juice in a medium bowl. Season salad with a big pinch of salt and toss again.', 'Spread raita over plates; place a few pieces of cabbage on each. Top with salad and Corn Nuts. Sprinkle with Aleppo-style pepper; drizzle with more oil.', 'Raita can be made 1 day ahead. Cover and chill.']","['Bon Appétit', 'Cabbage', 'Vegetarian', 'Grill/Barbecue', 'Grill', 'Goat Cheese', 'Yogurt', 'Mint', 'Parsley', 'Cucumber', 'Wheat/Gluten-Free', 'Dinner']"
recipe,/recipes/food/views/cucumber-seaweed-salad,Cucumber-Seaweed Salad,"['3/4 ounce dried wakame seaweed, cut into 1-inch pieces', '2 cucumbers, peeled, seeded, and diced', '2 tablespoons apple cider vinegar', '1 1/2 tablespoons coconut aminos', '1 tablespoon extra-virgin olive oil', 'Juice of 1/2 small lemon', '1/2-inch piece of fresh ginger, peeled and grated', 'Pinch of fine sea salt']","['In a bowl, soak the wakame in warm water for 5 to 10 minutes. Drain in a colander. Combine the seaweed and cucumber in a bowl. In another bowl, whisk together the vinegar, coconut aminos, olive oil, lemon juice, ginger, and salt. Toss the vegetables with 2 tablespoons dressing. Taste and add more dressing if desired.']","['HarperCollins', 'Salad', 'Side', 'Cucumber', 'Ginger', 'Quick & Easy', 'Quick and Healthy', 'Healthy', 'Dairy Free', 'Peanut Free', 'Wheat/Gluten-Free', 'Vegetarian', 'Vegan']"
recipe,/recipes/food/views/pineapple-shrimp-noodle-bowls,Pineapple Shrimp Noodle Bowls,"['12 oz. pad Thai–style rice noodles', '1 lb. large shrimp', '12 oz. (1"") fresh pineapple cubes (about 2 cups; from ½ pineapple)', '1 tsp. kosher salt', '2 Tbsp. soy sauce or tamari', '1 Tbsp. freshly grated ginger', '2 Tbsp. vegetable oil', '2½ cups pineapple juice', '1 Tbsp. chili-garlic sauce, such as Huy Fong', '1 cup basil leaves, plus more for serving', '2 mini seedless cucumbers, thinly sliced', '½ small red onion, very thinly sliced crosswise', '½ cup salted roasted peanuts, coarsely chopped', 'Lime wedges (for serving)']","['Cook rice noodles according to package directions.', 'Meanwhile, toss shrimp and pineapple in a large bowl; season with salt. Add soy sauce and ginger and toss again to coat.', 'Heat oil in a large nonstick skillet over medium-high. Using tongs, pluck out just the pineapple and cook, stirring often, until well browned on all sides, 5–6 minutes. Transfer to a plate. Add shrimp to same skillet and cook over medium-high heat, stirring often, until pink and opaque, 3–4 minutes. Transfer to plate with pineapple.', 'Cook pineapple juice and chili-garlic sauce in same skillet over medium-high heat, scraping up browned bits with a rubber spatula or wooden spoon and stirring occasionally, until reduced by half and slightly syrupy, 12–16 minutes. Remove from heat. Stir in pineapple-shrimp mixture and 1 cup basil.', 'Divide rice noodles among bowls. Spoon pineapple-shrimp mixture over noodles and drizzle with extra sauce. Top with cucumbers, onion, peanuts, and more basil. Serve with lime wedges alongside for squeezing over.']","['Shrimp', 'Noodle', 'Pineapple', 'Soy Sauce', 'Ginger', 'Basil', 'Cucumber', 'Onion', 'Peanut', 'Lime', 'Dinner', 'Tropical Fruit', 'Quick & Easy', 'Pasta', 'Rice', 'Wheat/Gluten-Free', 'Asian']"
recipe,/recipes/food/views/sambal-shrimp-lettuce-wraps,Sambal Shrimp Lettuce Wraps,"['1/2 cup hot chili paste (such as sambal oelek)', '1/4 cup honey', '1/4 cup unseasoned rice vinegar', '4 tsp. toasted sesame oil, divided', '1 1/2 lb. large shrimp', 'Kosher salt', '1–2 Tbsp. vegetable oil', '2 Persian cucumbers, thinly sliced into rounds', 'Flaky sea salt', '2 heads of Bibb lettuce, leaves separated, covered, chilled', '1/2 cup mint sprigs', '1/2 cup crushed salted, dry-roasted peanuts']","['Whisk hot chili paste, honey, vinegar, and 2 tsp. sesame oil in a small bowl to combine. Season shrimp lightly with kosher salt and place in a resealable plastic bag. Pour in half of marinade and seal bag. Transfer remaining marinade to a small bowl and set aside for serving. Let shrimp sit at room temperature, turning the bag occasionally to ensure even coating, 10–15 minutes.', 'Remove shrimp from marinade, allowing excess to drip back into bag, and transfer to paper towels to drain. Heat 1 Tbsp. vegetable oil in a large cast-iron skillet over medium-high until shimmering. Working in batches and adding another 1 Tbsp. oil along the way if the skillet is looking dry, arrange shrimp in skillet in a single layer and cook undisturbed 2 minutes (the marinade will have darkened in color and some of the sugars in it will have started to caramelize). Turn shrimp over and cook 30 seconds. Transfer to a platter.', 'Arrange cucumbers on platter next to shrimp; season with sea salt and drizzle with remaining 2 tsp. sesame oil. Arrange lettuce leaves and mint sprigs on platter so that each component is visible and easily accessible. Place crushed peanuts in a small bowl and set out next to platter along with reserved marinade (for spooning into wraps).']","['Bon Appétit', 'Dinner', 'Seafood', 'Shellfish', 'Shrimp', 'Chile Pepper', 'Hot Pepper', 'Honey', 'Sesame Oil', 'Cucumber', 'Lettuce', 'Mint', 'Peanut']"
recipe,/recipes/food/views/smashed-cucumber-salad-with-lemon-and-celery-salt,Smashed Cucumber Salad with Lemon and Celery Salt,"['5 mini seedless or Persian cucumbers or 1 small English hothouse cucumber (about 12 oz.)', 'Kosher salt', '1 (3x1"") strip lemon zest, very thinly sliced', '2 Tbsp. fresh lemon juice', '2 Tbsp. extra-virgin olive oil', '1/4 tsp. celery salt, plus more for serving']","['Gently smash cucumbers with a rolling pin or the back of a heavy knife just to break open. Tear into irregular 2"" pieces and place in a medium bowl; season lightly with salt. Let sit at least 5 minutes and up to 1 hour.', 'Meanwhile, whisk lemon zest, lemon juice, oil, and 1/4 tsp. celery salt in a medium bowl to combine; season dressing with salt.', 'Drain cucumbers, discarding any liquid they have released. Add to bowl with dressing and toss several times to coat. Sprinkle with more celery salt.']","['Bon Appétit', 'Salad', 'Cucumber', 'Side', 'Lemon', 'Quick & Easy', 'Vegetarian', 'Vegan', 'Lemon Juice', 'Wheat/Gluten-Free']"
