URL,popularity,song_title,year,lyrics
http://www.metrolyrics.com/its-the-end-of-the-world-lyrics-rem.html,10,It's The End Of The World Lyrics,2008,"[""That's great, it starts with an earthquake\nBirds and snakes, an aeroplane, Lenny Bruce is not afraid\nEye of a hurricane, listen to yourself churn\nWorld serves its own needs, don't misserve your own needs"", 'Feed it up a knock, speed, grunt, no, strength, no\nLadder, structure clatter with fear of height, down height\nWire in a fire, represent the seven games\nIn a government for hire and a combat site', ""Left her, wasn't coming in a hurry with the furies\nBreathing down your neck\nTeam by team, reporters baffled, trump, tethered crop\nLook at that low plane, fine then"", ""Uh oh, overflow, population, common group\nBut it'll do, save yourself, serve yourself\nWorld serves its own needs, listen to your heart bleed\nTell me with the rapture and the reverent in the right, right\nYou vitriolic, patriotic, slam, fight, bright light\nFeeling pretty psyched"", ""It's the end of the world as we know it\nIt's the end of the world as we know it\nIt's the end of the world as we know it\nAnd I feel fine"", ""Six o'clock, TV hour, don't get caught in foreign tower\nSlash and burn, return, listen to yourself churn\nLock him in uniform and book burning, blood letting\nEvery motive escalate, automotive incinerate"", 'Light a candle, light a motive, step down, step down\nWatch a heel crush, crush, uh oh, this means no fear\nCavalier, renegade and steer clear\nA tournament, a tournament, a tournament of lies\nOffer me solutions, offer me alternatives and I decline', ""It's the end of the world as we know it\nIt's the end of the world as we know it\nIt's the end of the world as we know it\nAnd I feel fine, I feel fine"", ""It's the end of the world as we know it\nIt's the end of the world as we know it\nIt's the end of the world as we know it\nAnd I feel fine"", 'The other night I tripped a nice continental drift divide\nMount St. Edelite, Leonard Bernstein\nLeonid Breshnev, Lenny Bruce and Lester Bangs\nBirthday party, cheesecake, jelly bean, boom\nYou symbiotic, patriotic, slam but neck, right? Right', ""It's the end of the world as we know it\nIt's the end of the world as we know it\nIt's the end of the world as we know it\nAnd I feel fine"", ""It's the end of the world as we know it\nIt's the end of the world as we know it\nIt's the end of the world as we know it\nAnd I feel fine"", ""It's the end of the world as we know it\nIt's the end of the world as we know it\nIt's the end of the world as we know it\nAnd I feel fine\nIt's the end of the world as we know it\nIt's the end of the world as we know it\nIt's the end of the world as we know it\nAnd I feel fine\nIt's the end of the world as we know it\nIt's the end of the world as we know it\nIt's the end of the world as we know it\nAnd I feel fine""]"
http://www.metrolyrics.com/losing-my-religion-lyrics-rem.html,9,Losing My Religion Lyrics,2003,"[""Oh life, it's bigger\nIt's bigger than you\nAnd you are not me\nThe lengths that I will go to\nThe distance in your eyes\nOh no, I've said too much\nI set it up"", ""That's me in the corner\nThat's me in the spotlight\nLosing my religion\nTrying to keep up with you\nAnd I don't know if I can do it\nOh no, I've said too much\nI haven't said enough"", 'I thought that I heard you laughing\nI thought that I heard you sing\nI think I thought I saw you try', ""Every whisper\nOf every waking hour\nI'm choosing my confessions\nTrying to keep an eye on you\nLike a hurt, lost and blinded fool, fool\nOh no, I've said too much\nI set it up"", ""Consider this\nConsider this, the hint of the century\nConsider this, the slip\nThat brought me to my knees, failed\nWhat if all these fantasies come\nFlailing around\nNow I've said too much"", 'I thought that I heard you laughing\nI thought that I heard you sing\nI think I thought I saw you try', 'But that was just a dream\nThat was just a dream', ""That's me in the corner\nThat's me in the spotlight\nLosing my religion\nTrying to keep up with you\nAnd I don't know if I can do it\nOh no, I've said too much\nI haven't said enough"", 'I thought that I heard you laughing\nI thought that I heard you sing\nI think I thought I saw you try', 'But that was just a dream\nTry, cry, why try\nThat was just a dream\nJust a dream\nJust a dream, dream']"
http://www.metrolyrics.com/the-one-i-love-lyrics-rem.html,9,The One I Love Lyrics,2008,"[""This one goes out to the one I love\nThis one goes out to the one I've left behind\nA simple prop to occupy my time\nThis one goes out to the one I love"", ""Fire\n(She's comin' down on her own, now)\nFire\n(she's comin' down on her own)"", ""This one goes out to the one I love\nThis one goes out to the one I've left behind\nA simple prop to occupy my time\nThis one goes out to the one I love"", ""Fire\n(She's comin' down on her own, now)\nFire\n(She's comin' down on her own)"", ""This one goes out to the one I love\nThis one goes out to the one I've left behind\nAnother prop has occupied my time\nThis one goes out to the one I love"", ""Fire\n(She's comin' down on her own, now)\nFire\n(She's comin' down on her own)\nFire\n(She's comin' down on her own, now)\nFire\n(She's comin' down on her own)""]"
http://www.metrolyrics.com/selingkar-kasih-lyrics-rem.html,7,Selingkar Kasih Lyrics,2010,"['Seharusnya cinta kita bisa tersenyum\nSeolah seorang puteri ayu\nAkan menjadi idaman mahkota hati\nLambang pengorbanan kita yang suci', 'Tetapi selingkar oh kasihmu\nTelah terurai meragut dan menyakar\nHati ini jua\nMasih lagi selingkar kasihmu\nYang menghantui prasedar dan merayu\nRindu daku jua\nOh...\nKepastian yang ku nanti\nTetapi engkau masih mencari\nCinta yang lain\nBukan dariku', 'Seharusnya cinta ini bisa berdiri\nSebagai sebuah istana megah\nMenjadi persinggahan mahkota hati\nMelambang kebahagian kita kasih']"
http://www.metrolyrics.com/man-on-the-moon-lyrics-rem.html,7,Man On The Moon Lyrics,2003,"[""and the game of Life\nYeah, yeah, yeah, yeah\nAndy Kaufman in the wrestling match\nYeah, yeah, yeah, yeah\nMonopoly, Twenty One, checkers and chess\nYeah, yeah, yeah, yeah\nMister Fred Blassie in a breakfast mess\nYeah, yeah, yeah, yeah\nLet's play Twister, let's play Risk\nYeah, yeah, yeah, yeah\nI'll see you in heaven if you make the list\nYeah, yeah, yeah, yeah"", 'Now, Andy did you hear about this one?\nTell me, are you locked in the punch?\nHey Andy, are you goofing on Elvis? Hey, baby\nAre we losing touch?', ""If you believed they put a man on the moon\nIf you believed there's nothing up his sleeve\nThen nothing is cool"", 'Moses went walking with a staff of wood\nYeah, yeah, yeah, yeah\nNewton got beaned by the apple good\nYeah, yeah, yeah, yeah\nEgypt was troubled by the horrible asp\nYeah, yeah, yeah, yeah\nMister Charles Darwin had the gall to ask\nYeah, yeah, yeah, yeah', 'Now, Andy did you hear about this one?\nTell me, are you locked in the punch?\nHey Andy, are you goofing on Elvis? Hey, baby\nAre you having fun?', ""If you believed they put a man on the moon\nIf you believed there's nothing up his sleeve\nThen nothing is cool"", ""Here's a little agit for the never-believer\nYeah, yeah, yeah, yeah\nHere's a little ghost for the offering\nYeah, yeah, yeah, yeah\nHere's a truck stop instead of Saint Peter's\nYeah, yeah, yeah, yeah\nMister Andy Kaufman's gone wrestling\nYeah, yeah, yeah, yeah"", 'Now, Andy did you hear about this one?\nOh, tell me, are you locked in the punch?\nHey Andy, are you goofing on Elvis? Hey, baby\nAre we losing touch?', ""If you believed they put a man on the moon ()\nMan on the moon ()\nIf you believed there's nothing up his sleeve\n() Then nothing is cool"", ""If you believed they put a man on the moon ()\nMan on the moon ()\nIf you believed there's nothing up his sleeve\n() Then nothing is cool"", ""If you believed they put a man on the moon ()\nMan on the moon ()\nIf you believed there's nothing up his sleeve\n() Then nothing is cool""]"
http://www.metrolyrics.com/the-sidewinder-sleeps-tonight-lyrics-rem.html,7,The Sidewinder Sleeps Tonight Lyrics,2006,"[""This here is the place i will be staying.\nthere isn't a number. you can call the pay phone.\nlet it ring a long, long, long, long time.\nif i don't pick up, hang up, call back, let it ring some more.\nif i don't pick up, pick up... the sidewinder sleeps, sleeps, sleeps in a coil\nCall me when you try to wake her up. call me when you try to wake her.\ncall me when you try to wake her up. call me when you try to wake her.\ncall me when you try to wake her up. call me when you try to wake her.\nThere are scratches all around the coin slot\nlike a heartbeat, baby trying to wake up,\nbut this machine can only swallow money.\nyou can't lay a patch by computer design.\nit's just a lot of stupid, stupid signs.\nTell her,\ntell her she can kiss my ass, then laugh and say that you were only kidding.\nthat way she'll know that it's really, really, really, really me.\nCall me when you try to wake her up. call me when you try to wake her.\ncall me when you try to wake her up. call me when you try to wake her.\ncall me when you try to wake her up. call me when you try to wake her."", ""Baby, instant soup doesn't really grab me.\ntoday i need something more sub-sub-sub-substantial.\na can of beans or blackeyed peas, some nescafe and ice,\na candy bar, a falling star, or a reading of doctor seuss;\nCall me when you try to wake her up. call me when you try to wake her.\ncall me when you try to wake her up. call me when you try to wake her.\ncall me when you try to wake her up. call me when you try to wake her.\nThe cat in the hat came back, wrecked a lot of havoc on the way,\nalways had a smile and a reason to pretend.\nbut their world has flat backgrounds and little need to sleep but to dream.\nthe sidewinder sleeps on his back.\nCall me when you try to wake her up. call me when you try to wake her.\ncall me when you try to wake her up. call me when you try to wake her.\ni can always sleep standing up. call me when you try to wake her.\ncall me when you try to wake her up. call me when you try to wake her.\ncall me when you try to wake her up. call me when you try to wake her.\ni can always sleep standing up. call me when you try to wake her.\ncall me when you try to wake her up. call me when you try to wake her.\ni can always sleep standing up. call me when you try to wake her.\ni can always sleep standing up. call me when you try to wake her.\nWe've got to moogie, moogie, move on this one.""]"
http://www.metrolyrics.com/nightswimming-lyrics-rem.html,6,Nightswimming Lyrics,2003,"['Nightswimming deserves a quiet night', 'The photograph on the dashboard taken years ago\nTurned around backwards so the windshield shows\nEvery street light reveals a picture in reverse\nStill its so much clearer', ""I forgot my shirt at the water's edge\nThe moon is low tonight"", ""Nightswimming deserves a quiet night\nI'm not sure all these people understand"", ""It's not like years ago\nThe fear of getting caught\nThe recklessness in water\nThey cannot see me naked\nThese things they go away\nReplaced by every day"", ""Nightswimming, remembering that night\nSeptember's coming soon\nI'm pining for the moon\nAnd what if there were two\nSide by side in orbit around the fairest sun?\nThat bright tight forever drum\nCould not describe nightswimming"", 'You, I thought I knew you\nYou, I can not judge\nYou, I thought you knew me\nThis one laughing quietly\nUnderneath my breath\nNightswimming', 'The photograph reflects\nEvery street light a reminder\nNightswimming\nDeserves a quiet night\nDeserves a quiet night']"
http://www.metrolyrics.com/everybody-hurts-lyrics-rem.html,6,Everybody Hurts Lyrics,2003,"[""When your day is long\nAnd the night, the night is yours alone\nWhen you're sure you've had enough\nOf this life, well hang on"", ""Don't let yourself go\n'Cause everybody cries\nAnd everybody hurts sometimes"", ""Sometimes everything is wrong\nNow it's time to sing along\nWhen your day is night alone (hold on, hold on)\nIf you feel like letting go (hold on)\nIf you think you've had too much\nOf this life, well hang on"", ""Cause everybody hurts\nTake comfort in your friends\nEverybody hurts\nDon't throw your hand, oh no"", ""Don't throw your hand\nIf you feel like you're alone\nNo, no, no, you are not alone"", ""If you're on your own in this life\nThe days and nights are long\nWhen you think you've had too much of this life to hang on"", 'Well, everybody hurts sometimes\nEverybody cries\nEverybody hurts sometimes\nAnd everybody hurts sometimes\nSo hold on, hold on\nHold on, hold on, hold on, hold on, hold on, hold on\nEverybody hurts']"
http://www.metrolyrics.com/fall-on-me-lyrics-rem.html,6,Fall On Me Lyrics,2011,"[""There's a problem, feathers, iron\nBargain buildings, weights and pulleys\nFeathers hit the ground\nBefore the weight can leave the air"", ""Buy the sky and sell the sky\nAnd tell the sky, and tell the sky\nFall on me (what is it up in the air for)\nFall on me (if it's there for long)\nFall on me (it's over, it's over me)"", ""There's the progress\nWe have found a way to talk around the problem\nBuilding towers\nForesight isn't anything at all"", ""Buy the sky and sell the sky\nAnd bleed the sky and tell the sky\nFall on me (what is it up in the air for)\nFall on me (if it's there for long)\nFall on me (it's over, it's over me)\nFall on me\n(Well I would keep it above but then it wouldn't be sky any more)\n(So if I send it to you you've got to promise to keep it home)"", ""Buy the sky and sell the sky\nAnd lift your arms up to the sky\nAnd ask the sky, and ask the sky\nFall on me (what is it up in the air for)\nFall on me (if it's there for long)\nFall on me (it's over, it's over me)"", ""Fall on me (what is it up in the air for)\nFall on me (if it's there for long)\nFall on me (it's over, it's over me)\nFall on me"", ""Fall on me (what is it up in the air for)\nFall on me (if it's there for long)\nFall on me (it's over, it's over me)\nFall on me""]"
http://www.metrolyrics.com/orange-crush-lyrics-rem.html,5,Orange Crush Lyrics,2003,"[""(Follow me, don't follow me)\nI've got my spine, I've got my orange crush\n(Collar me, don't collar me)\nI've got my spine, I've got my orange crush\n(We are agents of the free)\nI've had my fun and now it's time to serve your conscience overseas\n(Over me, not over me)\nComing in fast, over me (oh, oh)"", ""(Follow me, don't follow me)\nI've got my spine, I've got my orange crush\n(Collar me, don't collar me)\nI've got my spine, I've got my orange crush\n(We are agents of the free)\nI've had my fun and now it's time to serve your conscience overseas\n(Over me, not over me)\nComing in fast, over me (oh, oh)"", ""High on the roof, thin the blood\nAnother one came on the waves tonight\nComin' in, you're home"", ""We would circle and we'd circle and we'd circle to stop and consider and centered on the pavement stacked up all the trucks jacked up and our wheels in slush and orange crush in pocket and all this here county, hell, any county, it's just like heaven here, and I was remembering and I was just in a different county and all then this whirlybird that I headed for I had my goggles pulled off; I knew it all, I knew every back road and every truck stop"", ""(Follow me, don't follow me)\nI've got my spine, I've got my orange crush\n(Collar me, don't collar me)\nI've got my spine, I've got my orange crush\n(We are agents of the free)\nI've had my fun and now it's time to serve your conscience overseas\n(Over me, not over me)\nComing in fast, over me (oh, oh)"", ""High on the roof, thin the blood\nAnother one climbs on the waves tonight\nComin' in, you're home"", ""High on the roof, thin the blood\nAnother one climbs on the waves tonight\nComin' in, you're home"", '(Ah, oh)']"
