Author,Rank,Rating,Score,Title
Margaret Atwood,1, 4.09 ," 30,733",The Handmaid's Tale
Suzanne Collins,2, 4.33 ," 28,553",The Hunger Games
Mary Wollstonecraft Shelley,3, 3.78 ," 21,909",Frankenstein
Madeleine L'Engle,4, 4.01 ," 18,720",A Wrinkle in Time
Ursula K. Le Guin,5, 4.06 ," 17,920",The Left Hand of Darkness
Veronica Roth,6, 4.21 ," 13,326",Divergent
Suzanne Collins,7, 4.29 ," 12,749",Catching Fire
Lois Lowry,8, 4.12 ," 12,399",The Giver
Octavia E. Butler,9, 4.23 ," 11,070",Kindred
Ursula K. Le Guin,10, 4.21 ," 10,731",The Dispossessed
Margaret Atwood,11, 4.01 ," 10,117",Oryx and Crake
Suzanne Collins,12, 4.03 ," 9,807",Mockingjay
Audrey Niffenegger,13, 3.96 ," 9,193",The Time Traveler's Wife
Connie Willis,14, 4.03 ," 8,935",Doomsday Book
Ursula K. Le Guin,15, 4.11 ," 7,775",The Lathe of Heaven
Ann Leckie,16, 3.98 ," 7,336",Ancillary Justice
Lois McMaster Bujold,17, 4.11 ," 7,017",Shards of Honour
Connie Willis,18, 4.13 ," 6,890",To Say Nothing of the Dog
Mary Doria Russell,19, 4.17 ," 6,873",The Sparrow
Anne McCaffrey,20, 4.10 ," 6,802",Dragonflight
Octavia E. Butler,21, 4.16 ," 6,653",Parable of the Sower
Lois McMaster Bujold,22, 4.29 ," 6,087",The Warrior's Apprentice
Lois McMaster Bujold,23, 4.31 ," 5,623",Barrayar
Stephenie Meyer,24, 3.84 ," 5,274",The Host
Veronica Roth,25, 4.05 ," 4,899",Insurgent
Lois McMaster Bujold,26, 4.45 ," 4,682",Memory
P.D. James,27, 3.68 ," 4,484",The Children of Men
G.S. Jennsen,28, 3.91 ," 4,394",Starshine: Aurora Rising Book One
Margaret Atwood,29, 4.06 ," 4,343",The Year of the Flood
Anne McCaffrey,30, 4.09 ," 4,235",Crystal Singer
Lois McMaster Bujold,31, 4.33 ," 4,120",Mirror Dance
Octavia E. Butler,32, 4.33 ," 4,108",Lilith's Brood
Lois McMaster Bujold,33, 4.28 ," 3,895",The Vor Game
Octavia E. Butler,34, 4.21 ," 3,842",Wild Seed
Madeleine L'Engle,35, 4.04 ," 3,700",A Wind in the Door
Lois McMaster Bujold,36, 4.43 ," 3,683",A Civil Campaign
Lois McMaster Bujold,37, 4.21 ," 3,653",Brothers in Arms
Lois McMaster Bujold,38, 4.17 ," 3,618",Cetaganda
Joan D. Vinge,39, 3.95 ," 3,535",The Snow Queen
